infant_mortality_rate
4.4
4.1
4.0
3.9
3.8
3.6
3.3
2.8
2.6
2.5
2.5
2.5
2.6
2.5
2.4
2.3
2.1
1.9
1.8
1.7
1.6
1.6
1.5
